                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  1.486,                 1.7077,                 1.3358,                0.54233,                0.52342,                0.53758,                0.35795,                 1.3108,                 1.4549,                 1.3003,             0.00057801,             0.00057801,             0.00057801
                     71,                 1.4801,                 1.7415,                 1.3423,                0.48447,                0.51849,                0.54088,                0.35425,                 1.3125,                 1.4628,                 1.2909,             0.00057672,             0.00057672,             0.00057672
                     72,                 1.4551,                  1.681,                  1.352,                 0.5314,                0.52413,                0.55549,                0.37196,                  1.253,                 1.4161,                 1.2774,             0.00057543,             0.00057543,             0.00057543
                     73,                 1.4221,                 1.6081,                 1.3084,                0.61048,                0.52493,                0.55333,                0.37904,                 1.2294,                 1.4372,                 1.2752,             0.00057414,             0.00057414,             0.00057414
                     74,                 1.3761,                 1.6342,                 1.3213,                   0.58,                0.54283,                0.56398,                0.38457,                 1.2105,                 1.3739,                 1.2568,             0.00057285,             0.00057285,             0.00057285
                     75,                 1.4269,                 1.6287,                  1.313,                0.54038,                0.56529,                 0.5549,                0.37722,                 1.2378,                 1.4202,                 1.2695,             0.00057156,             0.00057156,             0.00057156
                     76,                 1.4318,                 1.5769,                   1.32,                0.55742,                0.56542,                0.58316,                0.39948,                 1.2272,                 1.3911,                 1.2478,             0.00057027,             0.00057027,             0.00057027
                     77,                 1.4451,                 1.6105,                  1.298,                0.59916,                0.52893,                 0.5862,                0.39334,                 1.2494,                 1.3663,                 1.2609,             0.00056898,             0.00056898,             0.00056898
                     78,                 1.4408,                 1.5509,                 1.2563,                0.62891,                0.54228,                0.59105,                0.39605,                 1.2573,                 1.4212,                 1.2661,             0.00056769,             0.00056769,             0.00056769
                     79,                 1.3875,                  1.536,                 1.2998,                0.56964,                0.56284,                0.59061,                0.40672,                 1.2247,                 1.3475,                 1.2488,              0.0005664,              0.0005664,              0.0005664
                     80,                 1.3815,                 1.5636,                 1.2912,                0.61336,                0.57978,                0.62489,                0.42858,                 1.2029,                 1.2843,                 1.2325,             0.00056511,             0.00056511,             0.00056511
                     81,                 1.4047,                 1.5425,                 1.3003,                 0.6604,                0.54333,                0.60205,                0.40715,                   1.23,                 1.3194,                 1.2409,             0.00056382,             0.00056382,             0.00056382
                     82,                 1.3738,                 1.4915,                  1.291,                0.53978,                0.58488,                0.61528,                0.41676,                 1.1998,                 1.3006,                  1.231,             0.00056253,             0.00056253,             0.00056253
                     83,                 1.3554,                 1.4996,                 1.3088,                0.61066,                0.59989,                0.63511,                0.44131,                   1.18,                 1.2453,                  1.224,             0.00056124,             0.00056124,             0.00056124
                     84,                 1.3452,                 1.4939,                 1.2742,                 0.6452,                0.59122,                0.62735,                 0.4321,                  1.174,                 1.2605,                  1.218,             0.00055995,             0.00055995,             0.00055995
                     85,                 1.3722,                 1.5329,                 1.2728,                0.59261,                0.60372,                0.61925,                0.42958,                 1.1767,                 1.2669,                 1.2284,             0.00055866,             0.00055866,             0.00055866
                     86,                 1.3699,                 1.4702,                 1.2589,                0.62316,                0.61321,                0.65009,                0.44449,                 1.2158,                 1.2254,                 1.2463,             0.00055737,             0.00055737,             0.00055737
                     87,                 1.3397,                 1.4531,                 1.2816,                0.59306,                0.59014,                0.63417,                0.43664,                 1.2007,                 1.2555,                 1.2277,             0.00055609,             0.00055609,             0.00055609
                     88,                   1.32,                 1.4502,                 1.2615,                0.66042,                0.59724,                0.65131,                0.45305,                 1.1651,                 1.1912,                 1.2159,              0.0005548,              0.0005548,              0.0005548
                     89,                 1.3344,                 1.4322,                 1.2732,                0.67898,                0.61014,                0.65836,                0.46343,                 1.1664,                 1.1987,                 1.2176,             0.00055351,             0.00055351,             0.00055351
                     90,                 1.3232,                 1.4052,                  1.216,                0.65841,                0.61355,                0.66144,                0.45821,                 1.1774,                 1.2002,                 1.2145,             0.00055222,             0.00055222,             0.00055222
                     91,                 1.3539,                  1.463,                 1.2386,                0.66451,                0.59786,                0.66303,                0.45871,                 1.1688,                 1.1909,                 1.2035,             0.00055093,             0.00055093,             0.00055093
                     92,                 1.3223,                 1.4035,                 1.2423,                0.66779,                0.57585,                0.65726,                0.45773,                 1.1522,                 1.1989,                 1.1985,             0.00054964,             0.00054964,             0.00054964
                     93,                 1.2978,                 1.3938,                 1.2435,                0.65871,                0.59516,                0.66935,                0.47034,                 1.1385,                 1.1547,                 1.1937,             0.00054835,             0.00054835,             0.00054835
                     94,                 1.3319,                 1.4006,                 1.2185,                 0.6958,                0.62115,                0.67992,                0.47331,                 1.1494,                 1.1665,                 1.1924,             0.00054706,             0.00054706,             0.00054706
                     95,                 1.3442,                 1.3757,                 1.2385,                0.72477,                0.61592,                0.66694,                0.46324,                 1.1518,                 1.1472,                 1.1941,             0.00054577,             0.00054577,             0.00054577
                     96,                 1.3114,                 1.4009,                 1.2213,                0.69717,                0.62693,                0.67722,                0.47745,                 1.1095,                 1.1187,                 1.1731,             0.00054448,             0.00054448,             0.00054448
                     97,                 1.3128,                 1.3663,                 1.2079,                 0.7191,                0.62495,                0.69523,                0.48657,                  1.117,                  1.113,                 1.1783,             0.00054319,             0.00054319,             0.00054319
